"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"13","ENSG00000140284","SLC27A2","15",50182196,50236385,"solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]",4.41647938720363,-6.33580614870135,1.25699607347844,-5.04043431986902,4.64476518859739e-07,0.000587441464480892
"26","ENSG00000171759","PAH","12",102836889,102958410,"phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]",2.30895659865863,-5.90406965890525,1.53249277850558,-3.85259215685353,0.00011687396744932,0.0842758700282472
"9","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,-5.68211920753059,1.21736760123272,-4.66754594238981,3.048186048043e-06,0.00316511446484593
"19","ENSG00000163220","S100A9","1",153357854,153361023,"S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]",10.193090843353,-5.51765823399749,1.09916172990591,-5.0198784072202,5.17041972508488e-07,0.000610086025652175
"33","ENSG00000244734","HBB","11",5225464,5229395,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]",37.3871864890928,-5.3892403912632,0.359371948259303,-14.9962745210559,7.76575402312243e-51,2.01591208686235e-46
"14","ENSG00000143546","S100A8","1",153390032,153391073,"S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]",13.4573929017386,-5.3163336064758,1.09517181392765,-4.85433750108093,1.20789869477611e-06,0.00136329748772579
"15","ENSG00000145321","GC","4",71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,-5.06089862703061,1.23971180023766,-4.08231866959756,4.45885993271044e-05,0.0385825149977434
"4","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,-4.77627470118824,0.65415027411033,-7.30149461098088,2.84588478707336e-13,1.81225512200609e-09
"6","ENSG00000124253","PCK1","20",57561080,57568121,"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]",2.82437497630641,-4.73131049600037,1.09121920063311,-4.33580209480856,1.45229566551237e-05,0.0130000493727709
"5","ENSG00000118137","APOA1","11",116835751,116837950,"apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]",24.5025892889786,-4.18659021925821,0.402266470562911,-10.4075047900456,2.29149071500607e-25,2.97424037354213e-21
"2","ENSG00000063180","CA11","19",48637946,48646187,"carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]",65.5095072831681,-3.4421578401837,0.521484568212219,-6.60068974233367,4.09249225696512e-11,1.06237006498558e-07
"31","ENSG00000230391","RPSAP23","2",115468056,115468938,"ribosomal protein SA pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:36742]",3.75991933322448,-3.37736054345067,0.873666296402707,-3.86573289751115,0.000110756100142492,0.0821462172456845
"30","ENSG00000221887","HMSD","18",63949301,63981774,"histocompatibility minor serpin domain containing [Source:HGNC Symbol;Acc:HGNC:23037]",16.486434767331,-3.27794134798461,0.843208022992832,-3.88746460968206,0.000101296750988826,0.0773400693799687
"3","ENSG00000101076","HNF4A","20",44355700,44434596,"hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]",3.87359430273791,-3.045856980766,0.75176783649492,-4.05159257007743,5.0870192014788e-05,0.0425980424036091
"18","ENSG00000158104","HPD","12",121839527,121863596,"4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]",6.38490492477831,-2.55251348902064,0.670293448037354,-3.80805376584614,0.000140064823734072,0.0982687232246693
"7","ENSG00000125730","C3","19",6677704,6730562,"complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]",1187.17455071134,-2.32794846633046,0.430335550054608,-5.40961225730723,6.31613494736233e-08,0.000102475341936612
"10","ENSG00000136002","ARHGEF4","2",130836916,131047263,"Rho guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:684]",37.5951388542667,-1.78663794958908,0.406223969521722,-4.39815984195276,1.09172565696651e-05,0.0101214665461406
"23","ENSG00000169429","CXCL8","4",73740541,73743716,"C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]",201927.013485062,-1.26311644866759,0.181179309403965,-6.971637395147,3.1327315636434e-12,1.16175112372313e-08
"20","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,-1.22905682613143,0.230876543756447,-5.32343739270443,1.01824508897905e-07,0.000155486025087101
"21","ENSG00000169245","CXCL10","4",76021118,76023497,"C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]",125757.467119881,-1.11036626407619,0.209150316233359,-5.30893896826482,1.10265245363113e-07,0.000159020861354502
"22","ENSG00000169248","CXCL11","4",76033682,76041415,"C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]",56286.1897291047,-1.05842973423752,0.238073275925002,-4.44581497072754,8.75592881980785e-06,0.00841833911975526
"12","ENSG00000138755","CXCL9","4",76001275,76007488,"C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]",213817.347058643,-1.04198408333554,0.167815521792803,-6.20910433197026,5.32874373698707e-10,1.15274048890373e-06
