"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"19","ENSG00000163435","ELF3","1",202007945,202017183,"E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]",59.2095354513295,4.85218909191715,1.26909374080583,3.82334963596634,0.000131650888930053,0.0767469681536886
"5","ENSG00000124253","PCK1","20",57561080,57568121,"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]",2.82437497630641,4.8451458183905,1.26731211593369,3.82316696690053,0.000131748499721728,0.0767469681536886
"16","ENSG00000158104","HPD","12",121839527,121863596,"4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]",6.38490492477831,4.83714533755811,0.796786683919427,6.07081598523207,1.27261945813063e-09,3.13007825835329e-06
"25","ENSG00000171564","FGB","4",154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,4.62300941932101,1.19880407664163,3.85635109973273,0.000115092149636295,0.0707688840096953
"20","ENSG00000163993","S100P","4",6693878,6697170,"S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]",5.22672853797801,4.48470515548644,1.13871800283476,3.93838083206032,8.20333191602368e-05,0.0534085162626765
"7","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,4.13002726382393,1.05472304812181,3.91574572223339,9.0125198561015e-05,0.0570003255813322
"4","ENSG00000118137","APOA1","11",116835751,116837950,"apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]",24.5025892889786,3.99014258317064,0.353277514708029,11.294640663639,1.39473333397163e-29,3.0873817080796e-25
"31","ENSG00000243746","EEF1A1P10","7",144647186,144648575,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:3205]",2.92905213559189,3.28757256160508,0.87683879279372,3.74934661721621,0.000177295895200659,0.0981155484040448
"29","ENSG00000240388","AC008799.1","5",91354478,91354934,"ribosomal protein S18 (RPS18) pseudogene",3.06810851662871,3.05659600258944,0.806073756807743,3.79195573205899,0.000149465561164011,0.0848351195365782
"27","ENSG00000198650","TAT","16",71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,3.05185632476618,0.769200453331524,3.96756958676782,7.26093148702105e-05,0.0487054483020297
"26","ENSG00000197582","GPX1P1","X",13378735,13379340,"glutathione peroxidase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4560]",9.41191124926858,2.54841678764934,0.562140431724624,4.53341664080432,5.80371764941419e-06,0.00611767113749678
"6","ENSG00000124713","GNMT","6",42960754,42963880,"glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]",5.98104847530998,2.42275360786074,0.536242283895699,4.5180204557162,6.24204551602395e-06,0.00628063270648664
"28","ENSG00000203685","STUM","1",226548764,226609230,"stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]",198.883922658356,2.41957558005125,0.537544775234179,4.50116100374554,6.75832867487376e-06,0.00650445058900024
"32","ENSG00000244734","HBB","11",5225464,5229395,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]",37.3871864890928,1.66952803163716,0.386347269935859,4.3213144275986,1.5510246592981e-05,0.0127161043919343
"9","ENSG00000138755","CXCL9","4",76001275,76007488,"C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]",213817.347058643,1.31901827752041,0.166902355666957,7.90293385764082,2.72414157497115e-15,1.50753994758903e-11
"21","ENSG00000169245","CXCL10","4",76021118,76023497,"C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]",125757.467119881,1.30438156574113,0.208339544197615,6.26084486632021,3.82897292816858e-10,1.21083063911342e-06
"23","ENSG00000169429","CXCL8","4",73740541,73743716,"C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]",201927.013485062,1.29617568790658,0.180274991320195,7.18999168112218,6.47952699954989e-13,2.86861619324073e-09
"22","ENSG00000169248","CXCL11","4",76033682,76041415,"C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]",56286.1897291047,1.23835241619907,0.236574684092129,5.23450943600043,1.65423621160235e-07,0.000281678252154074
"15","ENSG00000154451","GBP5","1",89258950,89272804,"guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]",24733.7418180283,1.18657060266586,0.231925171772695,5.11617860880058,3.11787835420666e-07,0.000460115701658124
"17","ENSG00000163131","CTSS","1",150730188,150765792,"cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]",12035.2592803139,1.11422034138339,0.279339575873586,3.98876649647249,6.64177591662361e-05,0.0474265650614129
"2","ENSG00000090339","ICAM1","19",10271093,10286615,"intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]",69206.5819532078,1.07581407610843,0.251488949378476,4.27777872056475,1.88767526428521e-05,0.0139285265500725
